Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type
850.0,2,2.0,Semi-Furnished,"Mayur Apartment, Rohini Sector 9",1.0,11000000,Ready_to_move,Resale,Apartment
900.0,3,2.0,Semi-Furnished,"Vijay Vihar, Rohini",5.0,4500000,Ready_to_move,Resale,Builder_Floor
430.556,1,1.0,Furnished,Rohini Sector 18,2.0,5300000,Ready_to_move,Resale,Apartment
900.0,2,2.0,Semi-Furnished,"Prashant Vihar, Rohini",1.0,10500000,Ready_to_move,Resale,Apartment
914.9315,2,2.0,Semi-Furnished,Rohini Sector 5,1.0,12000000,Ready_to_move,Resale,Builder_Floor
1100.0,3,3.0,Furnished,Rohini Sector 20,1.0,7000000,Ready_to_move,New_Property,Builder_Floor
800.0,3,2.0,Semi-Furnished,Rohini Sector 25,1.0,7000000,Ready_to_move,Resale,Builder_Floor
500.0,1,1.0,Semi-Furnished,"Sanskriti Apartment, Rohini Sector 28",1.0,3400000,Ready_to_move,Resale,Apartment
28.0,2,2.0,Furnished,Rohini Sector 25,1.0,5000000,Ready_to_move,New_Property,Apartment
2160.0,4,4.0,Furnished,Rohini Sector 19,1.0,21000000,Ready_to_move,New_Property,Builder_Floor
1500.0,1,2.0,Unfurnished,Lajpat Nagar 2,1.0,13500000,Ready_to_move,Resale,Apartment
800.0,2,2.0,Unfurnished,Lajpat Nagar 1,1.0,15000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar,1.0,10500000,Ready_to_move,New_Property,Builder_Floor
1080.0,3,2.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.0,22500000,Ready_to_move,New_Property,Builder_Floor
750.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,13600000,Ready_to_move,New_Property,Builder_Floor
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar,1.0,13500000,Ready_to_move,New_Property,Apartment
810.0,2,2.0,Semi-Furnished,Other,1.0,8910000,Ready_to_move,Resale,Builder_Floor
1350.0,3,4.0,Unfurnished,Lajpat Nagar,1.0,25000000,Ready_to_move,Resale,Apartment
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,4.0,26000000,Ready_to_move,New_Property,Builder_Floor
1650.0,3,3.0,Semi-Furnished,Lajpat Nagar,1.0,30000000,Ready_to_move,Resale,Builder_Floor
1280.0,2,2.0,Furnished,Lajpat Nagar,1.0,12500000,Ready_to_move,Resale,Builder_Floor
1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,21000000,Ready_to_move,Resale,Builder_Floor
1130.0,2,2.0,Unfurnished,Lajpat Nagar 4,1.0,7800000,Ready_to_move,Resale,Builder_Floor
600.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",1.0,11500000,Ready_to_move,New_Property,Builder_Floor
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,11500000,Ready_to_move,Resale,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 2,2.0,26000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Semi-Furnished,"Amar Colony, Lajpat Nagar",2.0,13000000,Ready_to_move,New_Property,Builder_Floor
1000.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",1.0,22000000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,15800000,Ready_to_move,New_Property,Builder_Floor
2925.0,4,4.0,Unfurnished,Lajpat Nagar 3,2.0,57500000,Ready_to_move,New_Property,Builder_Floor
900.0,2,2.0,Unfurnished,Lajpat Nagar 1,2.0,10000000,Ready_to_move,Resale,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,2.0,30000000,Ready_to_move,New_Property,Builder_Floor
1143.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",2.0,22000000,Ready_to_move,New_Property,Builder_Floor
1150.0,3,3.0,Semi-Furnished,"Vikram Vihar, Lajpat Nagar",2.0,24000000,Ready_to_move,New_Property,Builder_Floor
1500.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,31500000,Ready_to_move,Resale,Builder_Floor
850.0,2,2.0,Semi-Furnished,Lajpat Nagar 2,1.0,14600000,Ready_to_move,Resale,Builder_Floor
8000.0,4,5.0,Semi-Furnished,Lajpat Nagar,1.0,240000000,Ready_to_move,New_Property,Builder_Floor
890.0,2,2.0,Semi-Furnished,Lajpat Nagar 1,1.0,8300000,Ready_to_move,Resale,Builder_Floor
1100.0,3,3.0,Unfurnished,"Vikram Vihar, Lajpat Nagar",1.0,22500000,Ready_to_move,New_Property,Builder_Floor
750.0,1,1.0,Furnished,"DDA Flats Sector 14, Dwarka Sector 14",2.0,4600000,Ready_to_move,Resale,Apartment
850.0,2,1.0,Semi-Furnished,"Siddhartha Heights, Dwarka Sector 24",2.0,1900000,Ready_to_move,New_Property,Apartment
1350.0,3,2.0,Unfurnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.0,5130000,Ready_to_move,New_Property,Apartment
1387.0,4,4.0,Unfurnished,"Delhi Homes Yojana, Dwarka Sector 24",1.0,5890000,Ready_to_move,New_Property,Apartment
1050.0,3,2.0,Unfurnished,"The Elite Spire, Dwarka Sector 21",1.0,3700000,Ready_to_move,New_Property,Apartment
1500.0,3,2.0,Unfurnished,"Kunj Vihar Apartment, Dwarka Sector 12",1.0,17400000,Ready_to_move,Resale,Apartment
1200.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka Sector 12",1.0,15500000,Ready_to_move,Resale,Apartment
700.0,2,1.0,Semi-Furnished,"MTNL Employees House Welfare Society, Dwarka Sector 24",1.0,2400000,Almost_ready,New_Property,Apartment
1700.0,3,2.0,Semi-Furnished,"Sunny Valley Apartments, Dwarka",1.0,17200000,Ready_to_move,Resale,Apartment
1550.0,3,2.0,Furnished,"Shri Agrasen Apartment, Dwarka Sector 7",2.0,14200000,Ready_to_move,Resale,Apartment
1400.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.0,13500000,Ready_to_move,Resale,Apartment
1900.0,4,4.0,Semi-Furnished,"Mohinder Apartments, Dwarka Sector 12",1.0,30000000,Ready_to_move,Resale,Apartment
2160.0,4,3.0,Unfurnished,"Chander Lok Apartment, Dwarka Sector 19",1.0,21000000,Ready_to_move,Resale,Apartment
1700.0,4,3.0,Unfurnished,"Neelachal, Dwarka Sector 5",1.0,20500000,Ready_to_move,Resale,Apartment
1850.0,3,4.0,Semi-Furnished,Dwarka,1.0,24000000,Ready_to_move,Resale,Apartment
1800.0,4,2.0,Semi-Furnished,"MeeraBai Apartment, Dwarka Sector 5",1.0,16500000,Ready_to_move,Resale,Apartment
1620.0,3,2.0,Semi-Furnished,"Crescent Apartments, Dwarka Sector 18",1.0,14900000,Ready_to_move,Resale,Apartment
1800.0,4,3.0,Furnished,"Ashoka Enclave Apartment, Dwarka Sector 11",1.0,19200000,Ready_to_move,Resale,Apartment
1540.0,3,3.0,Semi-Furnished,"Nav Kairali Apartment, Dwarka Sector 3",1.0,14500000,Ready_to_move,Resale,Apartment
1600.0,3,3.0,Semi-Furnished,"Ashirwad Apartments, Dwarka",1.0,15600000,Ready_to_move,Resale,Apartment
1400.0,3,2.0,Unfurnished,"Indraprastha Apartment, Dwarka Sector 12",1.0,11400000,Ready_to_move,Resale,Apartment
2300.0,4,4.0,Furnished,"Mohinder Apartments, Dwarka",1.0,31500000,Ready_to_move,Resale,Apartment
1560.0,3,2.0,Furnished,"Ashoka Apartments, Dwarka Sector 12",2.0,15800000,Ready_to_move,Resale,Apartment
1500.0,3,3.0,Semi-Furnished,"Karuna Vihar Apartment, Dwarka",2.0,16000000,Ready_to_move,Resale,Apartment
1050.0,2,2.0,Unfurnished,"LNT Apartments, Dwarka",1.0,10500000,Ready_to_move,Resale,Apartment
1800.0,3,2.0,Semi-Furnished,Dwarka Sector 4,1.0,14800000,Ready_to_move,Resale,Apartment
400.0,1,1.0,Semi-Furnished,Dwarka Sector 3,1.0,1850000,Ready_to_move,New_Property,Builder_Floor
1150.0,3,2.0,Semi-Furnished,Dwarka Sector 16B,1.0,6800000,Ready_to_move,New_Property,Builder_Floor
1525.0,3,3.0,Semi-Furnished,"Chopra Apartment, Dwarka Sector 23",1.0,14200000,Ready_to_move,Resale,Apartment
900.0,1,1.0,Semi-Furnished,Lajpat Nagar 3,1.0,8900000,Ready_to_move,Resale,Builder_Floor
1450.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,37500000,Ready_to_move,New_Property,Builder_Floor
1260.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,2.0,21000000,Ready_to_move,Resale,Builder_Floor
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor
1600.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,New_Property,Builder_Floor
2200.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,30000000,Ready_to_move,Resale,Builder_Floor
1350.0,3,3.0,Unfurnished,Lajpat Nagar 3,1.0,41500000,Ready_to_move,New_Property,Builder_Floor
1710.0,3,3.0,Semi-Furnished,Lajpat Nagar 3,1.0,24800000,Ready_to_move,Resale,Builder_Floor
